RELEASETIME,LIFE_LOAN,ITEM_AMOUNT
2015-07-04,30,1050000
2015-07-04,30,180000
2015-07-04,30,140000
2015-07-04,30,410000
2015-07-04,30,970000
2015-07-04,30,420000
2015-07-03,30,390000
2015-07-03,30,60000
2015-07-03,30,750000
2015-07-03,30,750000
2015-07-03,30,2150000
2015-07-03,30,5050000
2015-07-03,30,1850000
2015-07-03,30,350000
2015-07-03,30,800000
2015-07-03,30,160000
2015-07-03,30,120000
2015-07-03,30,390000
2015-07-02,30,390000
2015-07-02,30,470000
2015-07-02,30,630000
2015-07-02,30,840000
2015-07-02,30,530000
2015-07-02,30,950000
2015-07-02,30,530000
2015-07-02,30,750000
2015-07-02,30,240000
2015-07-02,30,530000
2015-07-02,30,530000
2015-07-02,30,450000
2015-07-02,30,550000
2015-07-02,30,570000
2015-07-02,30,170000
2015-07-01,30,1070000
2015-07-01,30,90000
2015-07-01,30,150000
2015-07-01,30,450000
2015-07-01,30,420000
2015-07-01,30,580000
2015-07-01,30,1200000
2015-07-01,30,310000
2015-07-01,30,700000
2015-06-30,30,310000
2015-06-30,30,50000
2015-06-30,30,1650000
2015-06-30,30,210000
2015-06-30,30,1050000
2015-06-30,30,630000
2015-06-30,30,1310000
2015-06-30,30,40000
2015-06-30,30,70000
2015-06-30,30,520000
2015-06-30,30,300000
2015-06-30,30,650000
2015-06-30,30,300000
2015-06-30,30,420000
2015-06-30,30,360000
2015-06-30,30,1050000
2015-06-30,30,140000
2015-06-30,30,150000
2015-06-30,30,100000
2015-06-30,30,520000
2015-06-30,30,800000
2015-06-30,30,1650000
2015-06-30,30,110000
2015-06-29,30,200000
2015-06-29,30,310000
2015-06-29,30,450000
2015-06-29,30,300000
2015-06-29,30,850000
2015-06-29,30,80000
2015-06-29,30,750000
2015-06-29,30,400000
2015-06-28,30,160000
2015-06-28,30,1500000
2015-06-27,30,1500000
2015-06-26,30,530000
2015-06-26,30,1560000
2015-06-26,30,520000
2015-06-26,30,1250000
2015-06-26,30,550000
2015-06-26,30,1350000
2015-06-26,30,130000
2015-06-26,30,470000
2015-06-26,30,250000
2015-06-26,30,160000
2015-06-26,30,150000
2015-06-26,30,420000
2015-06-26,30,360000
2015-06-26,30,80000
2015-06-26,30,1500000
2015-06-26,30,530000
2015-06-25,30,150000
2015-06-25,30,6450000
2015-06-25,30,1550000
2015-06-25,30,670000
2015-06-25,30,600000
2015-06-25,30,5530000
2015-06-25,30,250000
2015-06-25,30,140000
2015-06-25,30,400000
2015-06-25,30,1500000
2015-06-24,30,50000
2015-06-24,30,230000
2015-06-24,30,110000
2015-06-24,30,2070000
2015-06-24,30,70000
2015-06-24,30,580000
2015-06-24,30,70000
2015-06-24,30,1050000
2015-06-24,30,640000
2015-06-24,30,100000
2015-06-24,30,1550000
2015-06-24,30,100000
2015-06-23,30,500000
2015-06-23,30,270000
2015-06-23,30,1690000
2015-06-23,30,660000
2015-06-23,30,200000
2015-06-23,30,420000
2015-06-23,30,660000
2015-06-23,30,250000
2015-06-23,30,1790000
2015-06-23,30,630000
2015-06-23,30,650000
2015-06-22,30,150000
2015-06-22,30,830000
2015-06-22,30,370000
2015-06-22,30,1840000
2015-06-21,30,520000
2015-06-21,30,790000
2015-06-20,30,220000
2015-06-20,30,1210000
2015-06-20,30,160000
2015-06-20,30,450000
2015-06-19,30,450000
2015-06-19,30,160000
2015-06-19,30,880000
2015-06-19,30,4110000
2015-06-19,30,50000
2015-06-19,30,540000
2015-06-19,30,80000
2015-06-19,30,250000
2015-06-18,30,3150000
2015-06-18,30,90000
2015-06-18,30,110000
2015-06-18,30,50000
2015-06-18,30,1420000
2015-06-17,30,1000000
2015-06-17,30,890000
2015-06-17,30,1440000
2015-06-17,30,400000
2015-06-17,30,580000
2015-06-17,30,320000
2015-06-17,30,1750000
2015-06-16,30,1720000
2015-06-16,30,2590000
2015-06-16,30,310000
2015-06-16,30,2320000
2015-06-16,30,1370000
2015-06-16,30,170000
2015-06-16,30,200000
2015-06-16,30,330000
2015-06-16,30,290000
2015-06-16,30,90000
2015-06-16,30,2270000
2015-06-16,30,620000
2015-06-16,30,2950000
2015-06-16,30,4770000
2015-06-16,30,1040000
2015-06-16,30,450000
2015-06-16,30,1150000
2015-06-16,30,240000
2015-06-16,30,200000
2015-06-16,30,2060000
2015-06-16,30,150000
2015-06-16,30,850000
2015-06-16,30,450000
2015-06-16,30,720000
2015-06-16,30,550000
2015-06-16,30,90000
2015-06-16,30,850000
2015-06-15,30,70000
2015-06-15,30,210000
2015-06-15,30,220000
2015-06-15,30,2000000
2015-06-15,30,1650000
2015-06-13,30,480000
2015-06-13,30,110000
2015-06-13,30,170000
2015-06-13,30,240000
2015-06-13,30,90000
2015-06-12,30,280000
2015-06-12,30,120000
2015-06-12,30,50000
2015-06-12,30,850000
2015-06-12,30,2000000
2015-06-12,30,1080000
2015-06-12,30,1140000
2015-06-12,30,480000
2015-06-12,30,700000
2015-06-12,30,650000
2015-06-12,30,530000
2015-06-12,30,860000
2015-06-12,30,1150000
2015-06-12,30,1750000
2015-06-11,30,370000
2015-06-11,30,30000
2015-06-11,30,1750000
2015-06-11,30,650000
2015-06-11,30,1670000
2015-06-11,30,80000
2015-06-11,30,520000
2015-06-11,30,250000
2015-06-11,30,470000
2015-06-11,30,300000
2015-06-11,30,320000
2015-06-11,30,1650000
2015-06-11,30,60000
2015-06-11,30,1450000
2015-06-11,30,430000
2015-06-11,30,60000
2015-06-11,30,200000
2015-06-10,30,260000
2015-06-10,30,820000
2015-06-10,30,40000
2015-06-10,30,3350000
2015-06-10,30,450000
2015-06-10,30,210000
2015-06-10,30,420000
2015-06-10,30,15730000
