release time,life loan,ITEM_AMOUNT
2015-04-08,270,\N
2015-04-08,30,200000
2015-04-08,60,\N
2015-04-08,270,\N
2015-04-08,270,\N
2015-04-08,180,\N
2015-04-08,90,\N
2015-04-08,180,\N
2015-04-08,60,\N
2015-04-08,30,\N
2015-04-08,90,\N
2015-04-08,180,\N
2015-04-08,30,\N
2015-04-07,270,\N
2015-04-07,30,\N
2015-04-07,60,\N
2015-04-07,180,\N
2015-04-07,90,\N
2015-04-07,180,\N
2015-04-07,60,\N
2015-04-07,90,\N
2015-04-07,30,\N
2015-04-07,270,\N
2015-04-07,30,\N
2015-04-07,60,\N
2015-04-07,180,\N
2015-04-07,30,\N
2015-04-06,30,\N
2015-04-06,180,\N
2015-04-06,180,\N
2015-04-06,60,\N
2015-04-06,180,\N
2015-04-06,30,\N
2015-04-06,90,\N
2015-04-06,270,\N
2015-04-06,60,\N
2015-04-06,180,140000
2015-04-06,30,\N
2015-04-06,270,\N
2015-04-06,30,\N
2015-04-06,270,\N
2015-04-04,30,\N
2015-04-04,30,\N
2015-04-04,270,\N
2015-04-04,270,\N
2015-04-04,60,\N
2015-04-04,270,\N
2015-04-04,90,\N
2015-04-04,90,\N
2015-04-04,180,\N
2015-04-04,60,\N
2015-04-04,270,\N
2015-04-04,30,\N
2015-04-03,30,\N
2015-04-03,270,130000
2015-04-03,30,\N
2015-04-03,60,\N
2015-04-03,60,\N
2015-04-03,180,\N
2015-04-03,270,\N
2015-04-03,30,\N
2015-04-03,90,\N
2015-04-03,180,\N
2015-04-03,60,\N
2015-04-03,30,\N
2015-04-03,270,\N
2015-04-02,60,\N
2015-04-02,270,\N
2015-04-02,30,\N
2015-04-02,270,130000
2015-04-02,30,\N
2015-04-02,60,\N
2015-04-02,270,\N
2015-04-02,270,\N
2015-04-02,30,\N
2015-04-02,7,\N
2015-04-02,90,\N
2015-04-02,180,\N
2015-04-02,60,\N
2015-04-02,60,\N
2015-04-02,30,\N
2015-04-01,30,\N
2015-04-01,60,\N
2015-04-01,90,\N
2015-04-01,180,\N
2015-04-01,30,\N
2015-04-01,90,\N
2015-04-01,7,\N
2015-04-01,270,130000
2015-04-01,90,\N
2015-04-01,270,\N
2015-04-01,30,\N
2015-04-01,60,\N
2015-04-01,30,\N
2015-03-31,270,150000
2015-03-31,30,\N
2015-03-31,60,\N
2015-03-31,270,\N
2015-03-31,30,\N
2015-03-31,60,190000
2015-03-31,7,\N
2015-03-31,90,\N
2015-03-31,180,\N
2015-03-31,60,\N
2015-03-31,270,\N
2015-03-31,30,\N
2015-03-31,30,\N
2015-03-30,30,\N
2015-03-30,270,150000
2015-03-30,270,\N
2015-03-30,60,\N
2015-03-30,270,\N
2015-03-30,90,\N
2015-03-30,7,\N
2015-03-30,90,\N
2015-03-30,180,\N
2015-03-30,30,\N
2015-03-30,60,\N
2015-03-30,180,110000
2015-03-30,30,\N
2015-03-28,270,200000
2015-03-28,30,\N
2015-03-28,270,\N
2015-03-28,30,\N
2015-03-28,60,\N
2015-03-28,90,\N
2015-03-28,180,\N
2015-03-28,90,\N
2015-03-28,60,\N
2015-03-28,30,\N
2015-03-28,30,\N
2015-03-27,30,\N
2015-03-27,90,\N
2015-03-27,60,\N
2015-03-27,270,\N
2015-03-27,270,\N
2015-03-27,60,\N
2015-03-27,90,\N
2015-03-27,90,\N
2015-03-27,180,\N
2015-03-27,270,\N
2015-03-27,60,\N
2015-03-27,30,\N
2015-03-26,270,120000
2015-03-26,30,\N
2015-03-26,30,\N
2015-03-26,90,\N
2015-03-26,60,\N
2015-03-26,270,\N
2015-03-26,270,\N
2015-03-26,90,\N
2015-03-26,270,\N
2015-03-26,180,\N
2015-03-26,60,\N
2015-03-26,270,\N
2015-03-26,90,\N
2015-03-26,270,\N
2015-03-26,30,\N
2015-03-25,270,\N
2015-03-25,270,150000
2015-03-25,30,\N
2015-03-25,270,\N
2015-03-25,30,\N
2015-03-25,90,\N
2015-03-25,180,\N
2015-03-25,90,\N
2015-03-25,90,\N
2015-03-25,90,\N
2015-03-25,270,\N
2015-03-25,60,\N
2015-03-25,30,\N
2015-03-25,30,\N
2015-03-25,270,\N
2015-03-24,30,\N
2015-03-24,30,\N
2015-03-24,90,\N
2015-03-24,90,200000
2015-03-24,270,\N
2015-03-24,90,\N
2015-03-24,180,\N
2015-03-24,60,200000
2015-03-24,30,\N
2015-03-24,270,\N
2015-03-24,270,\N
2015-03-23,30,\N
2015-03-23,90,130000
2015-03-23,90,\N
2015-03-23,270,\N
2015-03-23,270,120000
2015-03-23,270,\N
2015-03-23,90,\N
2015-03-23,180,\N
2015-03-23,60,200000
2015-03-23,180,170000
2015-03-23,30,\N
2015-03-23,270,\N
2015-03-23,90,\N
2015-03-21,30,200000
2015-03-21,90,\N
2015-03-21,270,\N
2015-03-21,90,\N
2015-03-21,90,\N
2015-03-21,180,\N
2015-03-21,180,\N
2015-03-21,60,200000
2015-03-21,30,\N
2015-03-21,180,210000
2015-03-21,30,\N
2015-03-20,30,\N
2015-03-20,90,\N
2015-03-20,270,\N
2015-03-20,90,\N
2015-03-20,180,\N
2015-03-20,90,\N
2015-03-20,60,\N
2015-03-20,30,\N
2015-03-20,30,\N
2015-03-20,30,\N
2015-03-19,30,\N
2015-03-19,180,\N
2015-03-19,30,\N
2015-03-19,60,\N
2015-03-19,270,\N
2015-03-19,180,\N
2015-03-19,90,\N
2015-03-19,180,\N
2015-03-19,60,\N
2015-03-19,30,\N
2015-03-19,90,\N
2015-03-18,30,\N
2015-03-18,90,\N
2015-03-18,270,\N
2015-03-18,270,\N
2015-03-18,180,\N
2015-03-18,90,\N
2015-03-18,180,\N
2015-03-18,90,\N
2015-03-18,60,\N
2015-03-18,30,\N
2015-03-18,30,\N
2015-03-18,180,170000
2015-03-18,30,\N
2015-03-17,30,\N
2015-03-17,90,\N
2015-03-17,90,\N
2015-03-17,180,\N
2015-03-17,180,120000
2015-03-17,30,\N
2015-03-17,90,\N
2015-03-17,270,\N
2015-03-17,60,\N
2015-03-17,270,120000
2015-03-17,30,\N
2015-03-17,30,\N
2015-03-17,90,\N
2015-03-17,180,\N
2015-03-16,30,\N
2015-03-16,90,\N
2015-03-16,180,\N
2015-03-16,90,\N
2015-03-16,90,\N
2015-03-16,270,\N
2015-03-16,180,\N
2015-03-16,270,130000
2015-03-16,60,\N
2015-03-16,30,\N
2015-03-16,90,200000
2015-03-16,180,\N
2015-03-16,30,\N
2015-03-16,180,\N
2015-03-16,30,\N
2015-03-16,270,120000
2015-03-14,60,\N
2015-03-14,90,\N
2015-03-14,90,\N
2015-03-14,90,\N
2015-03-14,90,\N
2015-03-14,90,\N
2015-03-14,270,\N
2015-03-14,180,\N
2015-03-14,60,\N
2015-03-14,30,\N
2015-03-14,60,\N
2015-03-14,60,\N
2015-03-14,30,\N
2015-03-14,30,\N
2015-03-13,30,\N
2015-03-13,60,\N
2015-03-13,30,\N
2015-03-13,30,\N
2015-03-13,180,\N
2015-03-13,90,200000
2015-03-13,30,\N
2015-03-13,90,\N
2015-03-13,60,\N
2015-03-13,180,\N
2015-03-13,90,\N
2015-03-13,30,\N
2015-03-12,30,\N
2015-03-12,90,\N
2015-03-12,180,\N
2015-03-12,30,\N
2015-03-12,90,\N
2015-03-12,60,\N
2015-03-12,270,\N
2015-03-12,60,\N
2015-03-12,90,200000
2015-03-12,30,\N
2015-03-12,270,\N
2015-03-12,90,110000
2015-03-12,180,\N
2015-03-11,30,\N
2015-03-11,270,\N
