deadline,life loan,ITEM_AMOUNT,MONEY_RATE
2015-05-13,35,100000,14.4
2015-05-12,35,100000,14.4
2015-05-13,30,200000,13.88
2015-05-11,15,150000,13.32
2015-05-11,30,200000,13.88
2015-05-11,35,100000,14.4
2015-05-10,30,200000,13.88
2015-05-09,35,100000,14.4
2015-05-07,30,200000,13.88
2015-05-07,30,50000,11.88
2015-05-07,35,100000,14.4
2015-05-06,30,50000,11.88
2015-05-07,30,200000,13.88
2015-05-05,35,100000,14.4
2015-05-05,30,200000,13.88
2015-05-05,30,50000,11.88
2015-05-04,30,50000,11.88
2015-05-04,35,100000,14.4
2015-05-04,30,200000,13.88
2015-05-02,35,100000,14.4
2015-05-02,30,50000,11.88
2015-05-01,30,200000,13.88
2015-04-30,30,50000,11.88
2015-04-29,30,50000,11.88
2015-04-29,30,200000,13.88
2015-04-30,35,100000,14.4
2015-04-29,30,50000,11.88
2015-04-27,60,500000,15.12
2015-04-28,35,100000,14.4
2015-04-28,30,200000,13.88
2015-04-27,30,50000,11.88
2015-04-27,30,1000000,13.88
2015-04-27,30,50000,11.88
2015-04-25,30,30000,12.6
2015-04-25,30,100000,13.68
2015-04-24,30,100000,13.68
2015-04-24,30,30000,12.6
2015-04-24,30,30000,12.6
2015-04-23,30,30000,12.6
2015-04-24,30,100000,13.68
2015-04-22,30,30000,12.6
2015-04-22,30,30000,12.6
2015-04-21,30,30000,12.6
2015-04-21,30,30000,12.6
2015-04-22,35,100000,14.04
2015-04-21,30,30000,12.6
2015-04-21,35,100000,14.04
2015-04-20,30,30000,12.6
2015-04-20,15,350000,13.32
2015-04-20,30,30000,12.6
2015-04-20,30,50000,12.6
2015-04-19,30,50000,12.6
2015-04-19,30,50000,12.6
2015-04-19,30,50000,12.6
2015-04-19,30,50000,12.6
2015-04-18,30,50000,12.6
2015-04-20,30,200000,13.68
2015-04-20,40,50000,14.4
2015-04-17,30,30000,12.6
2015-04-20,35,100000,14.04
2015-04-17,30,30000,12.6
2015-04-17,40,100000,14.4
2015-04-16,30,30000,12.6
2015-04-16,30,30000,12.6
2015-04-16,30,30000,12.6
2015-04-15,30,30000,12.6
2015-04-17,35,100000,14.04
2015-04-15,30,30000,12.6
2015-04-16,30,200000,13.68
2015-04-15,30,50000,12.6
2015-04-15,30,200000,13.68
2015-04-14,30,50000,12.6
2015-04-13,30,50000,12.6
2015-04-14,30,50000,12.6
2015-04-13,30,100000,12.6
2015-04-12,30,100000,12.6
2015-04-12,30,100000,12.6
2015-04-14,30,300000,13.68
2015-04-12,30,100000,12.6
2015-04-11,30,200000,12.6
2015-04-12,30,200000,12.6
2015-04-12,30,300000,13.68
2015-04-12,30,200000,12.6
2015-04-10,10,400000,12.24
2015-04-10,30,100000,12.6
2015-04-10,30,100000,12.6
2015-04-10,30,200000,13.68
2015-04-10,45,300000,15.12
2015-04-10,30,200000,13.68
2015-04-09,45,300000,15.12
2015-04-08,45,100000,15.12
2015-04-08,45,100000,15.12
2015-04-09,30,200000,13.68
2015-04-08,45,100000,15.12
2015-04-07,45,100000,15.12
2015-04-07,45,100000,15.12
2015-04-06,45,100000,15.12
2015-04-07,30,200000,13.68
2015-04-06,45,100000,15.12
2015-04-05,45,100000,15.12
2015-04-03,30,100000,13.68
2015-04-05,30,200000,13.68
2015-04-04,35,50000,14.04
2015-04-04,30,100000,13.68
2015-04-03,30,100000,13.68
2015-04-03,30,100000,13.68
2015-02-03,90,100000,14.76
2015-04-03,30,100000,13.68
2015-04-03,45,500000,15.12
2015-04-02,60,50000,15.48
2015-03-31,60,50000,15.48
2015-03-31,45,500000,15.12
2015-03-30,40,500000,15.12
2015-03-28,40,1000000,15.12
2015-03-28,30,500000,13.68
2015-03-25,30,1000000,16.2
2015-03-24,35,500000,14.4
2015-03-23,35,500000,14.4
2015-03-20,35,500000,14.4
2015-03-18,90,1000000,14.76
2015-03-16,30,500000,16.2
2015-03-11,30,300000,16.2
2015-03-10,30,1000000,16.2
2015-03-09,30,2000000,16.2
2015-03-08,30,1000000,16.2
2015-03-05,10,100000,15.84
2015-03-05,20,800000,16.2
2015-03-05,30,500000,16.2
2015-03-03,30,500000,15.84
2015-02-28,30,500000,15.84
2015-02-16,20,500000,17.64
2015-02-12,180,1000000,11.88
2015-02-12,20,500000,17.64
2015-02-11,60,600000,15.84
2015-02-11,180,1000000,12.6
2015-02-10,180,1000000,12.96
2015-02-10,180,1000000,12.96
2015-02-10,5,300000,16.56
2015-02-09,90,1000000,12.6
2015-02-09,5,300000,16.56
2015-02-06,35,1500000,15.84
2015-02-06,90,2000000,13.68
2015-02-05,60,1500000,15.84
2015-02-04,90,2000000,13.68
2015-02-03,90,2000000,13.68
2015-02-03,8,300000,15.84
2015-02-03,90,1000000,13.68
2015-02-02,90,1000000,13.68
2015-02-02,90,2000000,13.68
2015-02-03,10,100000,15.84
2015-02-01,90,2000000,13.68
2015-01-31,90,1000000,13.68
2015-01-30,90,3000000,13.68
2015-01-29,10,100000,15.84
2015-01-28,60,1000000,14.04
2015-01-27,60,1000000,14.04
2015-01-28,10,100000,15.84
2015-01-26,60,1000000,14.04
2015-01-27,10,100000,15.84
2015-01-24,10,300000,15.12
2015-01-23,45,1500000,16.2
2015-01-26,45,1500000,16.2
2015-01-23,45,150000,14.4
2015-01-29,60,1000000,14.04
2015-01-23,45,1500000,16.2
2015-01-23,15,250000,15.12
2015-01-22,15,250000,15.12
2015-01-22,15,500000,15.84
2015-01-22,15,500000,15.48
2015-01-22,15,250000,15.12
2015-01-22,15,250000,15.12
2015-01-19,90,200000,14.76
