trading date,life loan,ITEM_AMOUNT
2015-08-06,30,70531.84
2015-08-06,30,63478.65
2015-08-06,30,64762.94
2015-08-06,30,64762.94
2015-08-05,180,24937.91
2015-08-05,180,20521.11
2015-08-06,30,24831.24
2015-08-06,30,26962.83
2015-08-05,90,29977.76
2015-08-06,30,24831.24
2015-08-06,30,28969.8
2015-08-06,30,103620.6
2015-08-05,30,66492.43
2015-08-05,30,45347.56
2015-08-05,30,56396.98
2015-08-05,30,43357.12
2015-08-05,30,47185.01
2015-08-05,30,40443.36
2015-08-05,90,45545.98
2015-08-05,90,45545.98
2015-08-05,30,40444.35
2015-08-05,30,42042.25
2015-08-05,30,31042.03
2015-08-04,30,40000
2015-08-05,30,37370.94
2015-08-05,30,43640.15
2015-08-03,180,34976.17
2015-08-05,30,56669.84
2015-08-04,90,20798.15
2015-08-05,30,75672.41
2015-08-04,14,13124.02
2015-08-04,90,25582.4
2015-08-04,30,48198.98
2015-08-04,30,72298.37
2015-08-04,30,45767.37
2015-08-04,90,24192.24
2015-08-04,30,48198.98
2015-08-04,30,140000
2015-08-04,30,24319.52
2015-08-03,14,18943.66
2015-08-04,30,52509.75
2015-08-04,30,52509.75
2015-08-04,30,24192.24
2015-08-04,30,24192.24
2015-08-04,30,52509.75
2015-08-04,30,24192.24
2015-08-03,90,44019.79
2015-08-04,30,69631.46
2015-08-04,30,59196.58
2015-08-04,30,70531.84
2015-08-04,30,35940.42
2015-08-04,30,35346.97
2015-08-03,90,24350.31
2015-08-04,30,24319.52
2015-08-04,30,25532.43
2015-08-03,30,38508.46
2015-08-03,30,76594.61
2015-08-03,90,30240.3
2015-08-03,30,70531.84
2015-08-03,30,65573.71
2015-08-03,30,66658.53
2015-08-03,30,56596.95
2015-08-03,90,90000
2015-08-03,30,47550.59
2015-08-03,30,47550.59
2015-08-03,30,66658.53
2015-08-03,30,34976.17
2015-08-03,30,30399.4
2015-08-03,90,31915.54
2015-08-03,30,41971.4
2015-08-03,90,47936.04
2015-08-02,180,35350.15
2015-08-03,90,42319.1
2015-08-03,30,35265.92
2015-08-03,30,52733.37
2015-08-03,30,60066.83
2015-07-29,14,63478.65
2015-07-31,90,30000
2015-08-02,90,38298.65
2015-08-03,30,90520.9
2015-08-03,30,66658.53
2015-08-03,30,65573.71
2015-08-02,30,56425.47
2015-08-02,30,57447.97
2015-08-02,30,55961.87
2015-08-02,30,44681.76
2015-08-02,90,38298.65
2015-08-02,90,32776.82
2015-08-02,180,15794.2
2015-08-01,180,32776.82
2015-08-01,30,32776.82
2015-08-02,30,83557.76
2015-08-02,30,79106.56
2015-08-02,30,69631.46
2015-08-01,90,47867.24
2015-08-02,30,83557.76
2015-08-02,30,43702.48
2015-08-01,30,34573.44
2015-08-01,90,48966.64
2015-07-01,30,38239.57
2015-07-01,30,32834.07
2015-08-01,30,62946.17
2015-08-01,30,69631.46
2015-08-01,30,56324.43
2015-08-01,30,43702.48
2015-07-30,180,34573.44
2015-08-01,30,39512.62
2015-08-01,30,41546.82
2015-07-31,90,43702.48
2015-07-31,90,39512.62
2015-07-31,30,54627.98
2015-07-31,180,43702.48
2015-07-31,30,43702.48
2015-08-01,30,39512.62
2015-07-31,30,49165.23
2015-07-31,30,49165.23
2015-07-31,30,43702.48
2015-07-31,30,44451.63
2015-07-30,90,43702.48
2015-07-30,30,71800.99
2015-07-31,30,54627.98
2015-07-31,30,54627.98
2015-07-30,30,54627.98
2015-07-30,90,65552.61
2015-07-30,90,43702.48
2015-07-30,90,43702.48
2015-07-30,90,62668.32
2015-07-30,30,54627.98
2015-07-30,30,190000
2015-07-30,30,42319.1
2015-06-30,180,29634.42
2015-06-30,30,38239.57
2015-07-29,180,21674.6
2015-07-30,180,32776.82
2015-07-30,30,44681.76
2015-07-30,30,58742.84
2015-06-30,14,71800.99
2015-07-30,30,51064.86
2015-07-30,30,65269.86
2015-07-30,30,62668.32
2015-07-28,90,140000
2015-07-30,30,93292.67
2015-07-29,30,66637.75
2015-07-29,30,66637.75
2015-07-29,30,47440.38
2015-07-29,90,41971.4
2015-07-29,30,83557.76
2015-07-29,30,97484.05
2015-07-29,30,57447.97
2015-07-29,30,84638.21
2015-07-29,30,55249.69
2015-07-27,14,52628.16
2015-07-29,30,57447.97
2015-07-29,90,62668.32
2015-07-29,90,40004.33
2015-07-28,180,37597.98
2015-07-21,30,51064.86
2015-07-29,30,51064.86
2015-07-28,90,48966.64
2015-07-28,180,15858.62
2015-07-29,30,77885.43
2015-07-29,30,55705.17
2015-07-29,30,79965.35
2015-07-29,30,55961.87
2015-07-28,30,55705.17
2015-07-28,90,51064.86
2015-07-28,30,51064.86
2015-07-28,30,51064.86
2015-07-28,30,49372.29
2015-07-28,30,49372.29
2015-07-28,90,44681.76
2015-07-28,30,48966.64
2015-07-28,30,48742.03
2015-07-28,90,48966.64
2015-07-28,30,44681.76
2015-07-27,30,30076.97
2015-07-28,180,24350.31
2015-07-28,90,44681.76
2015-07-28,90,44681.76
2015-07-28,90,42420.18
2015-07-28,30,63257.27
2015-07-28,90,42319.1
2015-07-28,30,75908.78
2015-07-28,30,43438.33
2015-07-27,30,56842.81
2015-07-24,14,62743.95
2015-07-27,14,10509.17
2015-07-28,90,41971.4
2015-07-28,30,36479.29
2015-07-28,30,48747.34
2015-07-28,90,41971.4
2015-07-28,90,29963.4
2015-07-28,180,17157.46
2015-07-26,180,22467.45
2015-07-28,90,42319.1
2015-07-27,90,80000
2015-07-28,90,13129.37
2015-07-27,180,15755.26
2015-07-28,90,34976.17
2015-07-28,90,35265.92
2015-07-27,90,35350.15
2015-07-27,14,10509.17
2015-07-27,30,50211.43
2015-07-27,30,60035.71
2015-07-27,30,50211.43
2015-07-27,90,16314.86
2015-07-27,30,36021.46
2015-07-27,30,32629.71
2015-07-27,30,32578.7
2015-07-27,30,38008.42
2015-07-27,14,38008.42
2015-07-27,30,34202.08
2015-07-27,30,35350.15
2015-07-27,90,15755.26
2015-07-27,30,36479.29
2015-07-26,30,37788.69
2015-07-26,180,13906.96
2015-07-26,180,15662.28
2015-07-26,90,43225.58
2015-07-25,14,66658.53
2015-07-26,90,36479.29
2015-07-25,30,72000
2015-07-26,30,34053.07
2015-07-26,30,77812.6
2015-07-26,90,38008.42
2015-07-26,30,48028.68
2015-07-26,30,50195.27
2015-07-26,30,43920.75
2015-07-25,180,16741.18
2015-07-26,30,22321.6
2015-07-26,30,32869.41
2015-07-25,90,62668.32
2015-07-26,30,42420.18
2015-07-26,30,36479.29
2015-07-26,30,65785.05
2015-07-26,30,43438.33
2015-07-25,90,63158.71
2015-07-25,90,56693.24
2015-07-26,30,42559.17
2015-07-26,30,59206.6
2015-07-25,30,66658.53
2015-07-25,90,44221.39
2015-07-25,180,20241.31
2015-07-25,30,51874.97
2015-07-25,30,54550.56
2015-07-25,30,56755.06
2015-07-25,30,50384.92
2015-07-25,30,66658.53
2015-07-23,14,43418.74
2015-07-25,90,43920.75
2015-07-25,30,50195.27
2015-07-25,30,56469.61
2015-07-24,14,62406.75
2015-07-24,90,62743.95
2015-07-25,30,66513.17
2015-07-24,30,75614.24
2015-07-24,90,26988.34
2015-07-24,90,22321.6
2015-07-23,180,38313.78
2015-07-24,90,46445.49
2015-07-24,30,69018.48
2015-07-24,30,77812.6
2015-07-24,30,52577.38
2015-07-24,90,37890.74
2015-07-22,30,300000
2015-07-24,30,52577.38
2015-07-24,90,26988.34
2015-07-24,90,32721.26
2015-07-24,30,50421.91
2015-07-24,30,50421.91
2015-07-24,90,51064.86
2015-07-24,30,48245.53
2015-07-24,30,50421.91
2015-07-24,30,55705.17
2015-07-23,90,49250.35
2015-07-23,90,36937.71
2015-07-23,14,40482.61
2015-07-23,30,58614.74
2015-07-23,30,51064.86
2015-07-22,14,40482.61
2015-07-23,30,62981.15
2015-07-23,14,56425.47
2015-07-23,14,56425.47
2015-07-23,90,51064.86
2015-07-22,90,40482.61
2015-07-22,30,61302.22
2015-07-23,14,63478.65
2015-07-23,14,66492.43
2015-07-23,30,78942.14
2015-07-22,90,47627.16
2015-07-22,90,26988.34
2015-07-22,14,11482.17
2015-07-22,30,68038.83
2015-07-22,30,66492.43
2015-07-22,90,54413.67
2015-07-22,30,66492.43
2015-07-22,14,3397.71
2015-07-22,180,34096.3
2015-07-22,180,42559.17
2015-07-22,90,53959.88
2015-07-22,30,64762.94
2015-07-22,30,56396.98
2015-07-21,14,20000
2015-07-22,90,37788.69
2015-07-22,30,53980.06
2015-07-22,30,53882.52
2015-07-21,30,62981.15
2015-07-21,30,79790.97
2015-07-21,90,41984.43
2015-07-21,180,35986.71
2015-07-21,14,23397.71
2015-07-21,14,13124.02
2015-07-21,30,220000
2015-07-21,30,50179.12
2015-07-21,30,53980.06
2015-07-21,14,14319.52
2015-07-21,30,48639.05
2015-07-21,90,31061.39
2015-07-21,30,50114.58
2015-07-21,90,31480.12
2015-07-21,90,28040.01
2015-07-21,90,24319.52
2015-07-21,30,50114.58
2015-07-21,30,68907.52
2015-07-21,30,36479.29
2015-07-21,14,10000
2015-07-21,30,22406
2015-07-17,14,18943.66
2015-07-20,90,37585.89
2015-07-20,30,33682.46
2015-07-17,30,280000
2015-07-20,30,22286.46
2015-07-20,30,28040.01
2015-07-20,30,33608.95
2015-07-20,90,22406
2015-07-20,180,22286.46
2015-07-20,30,41562.02
2015-07-20,90,22286.46
2015-07-18,180,39852.62
2015-07-20,30,50357.05
2015-07-20,30,33682.46
2015-07-20,90,50114.58
2015-07-20,90,45333.42
2015-07-19,90,33682.46
2015-07-19,90,40757.71
2015-07-20,90,25192.46
2015-07-19,90,33682.46
2015-07-19,30,38253.45
2015-07-19,30,40418.87
2015-07-19,30,47550.59
2015-07-18,30,45904.19
2015-07-19,30,40757.71
2015-07-19,30,44811.89
2015-07-18,90,37549.62
2015-07-18,30,45291.02
2015-07-18,30,45545.98
2015-07-18,90,33682.46
2015-07-18,30,78055.65
2015-07-18,30,51745.71
2015-07-18,90,34358.41
2015-07-18,180,21962.02
2015-07-18,14,47550.59
2015-07-18,14,47550.59
2015-07-18,30,40418.87
2015-07-18,14,47936.04
2015-07-18,90,39629.52
2015-07-18,30,70531.84
2015-07-17,90,50066.23
2015-07-17,30,53891.89
2015-07-18,30,45904.19
2015-07-17,30,42564.92
2015-07-17,90,44303.44
2015-07-17,30,53891.89
2015-07-17,30,50357.05
2015-07-17,14,69631.46
2015-07-15,180,36254.03
2015-07-15,360,21787.79
2015-07-17,30,65616.47
2015-07-17,14,62946.17
2015-07-17,14,56324.43
2015-07-16,14,15794.2
2015-07-17,30,83557.76
2015-07-17,30,66720.93
2015-07-17,30,83557.76
2015-07-17,30,80040.2
2015-07-16,90,45702.5
2015-07-16,30,66637.75
2015-07-16,30,56596.95
2015-07-16,30,50535.61
2015-07-16,90,32680.57
2015-07-16,30,56852.48
2015-07-16,90,45702.5
2015-07-16,14,84638.21
2015-07-16,14,58742.84
2015-07-16,30,40558.09
2015-07-14,14,21674.6
2015-07-16,14,65269.86
2015-07-16,90,34276.83
2015-07-16,90,37029.98
2015-07-16,14,66637.75
2015-07-16,30,31645.42
2015-07-16,90,41930.43
2015-07-16,30,79965.35
2015-07-16,30,66637.75
2015-07-15,90,34084.95
2015-07-15,30,63831.08
2015-07-15,90,28835.41
2015-07-15,90,56808.18
2015-07-15,30,35350.15
2015-07-15,30,35350.15
2015-07-15,30,34266.14
2015-07-15,30,45000
2015-07-15,30,49000
2015-07-15,180,38067.74
2015-07-15,90,36079.46
2015-07-15,90,48944.31
2015-07-15,30,77885.43
2015-07-14,90,48106.01
2015-07-15,30,79965.35
2015-07-15,30,51064.86
2015-07-15,180,34266.14
2015-07-15,14,79965.35
2015-07-14,180,31138.99
2015-07-14,30,54382.51
2015-07-15,30,50605.76
2015-07-15,30,48199.01
2015-07-15,30,48106.01
2015-07-15,30,62000
2015-07-14,90,44681.76
2015-07-14,30,100000
2015-07-14,30,38298.65
2015-07-14,30,64884.24
2015-07-14,180,24350.31
2015-07-14,14,63257.27
2015-07-14,90,42319.1
2015-07-14,30,57447.97
2015-07-14,14,75908.78
2015-07-14,30,51064.86
2015-07-14,30,51064.86
2015-07-14,30,51064.86
2015-07-11,14,15858.62
2015-07-14,30,51064.86
2015-07-13,360,21144.87
2015-07-14,180,30437.89
2015-07-14,30,83557.76
2015-07-14,30,62784.34
2015-07-13,90,22488.71
2015-07-13,30,45645.52
2015-07-13,30,75341.29
2015-07-13,90,36972.29
2015-07-13,180,24350.31
2015-07-13,180,21144.87
2015-07-13,30,70199.24
2015-07-13,30,73210.16
2015-07-13,90,30399.4
2015-07-13,30,44681.76
