deadline,life loan,ITEM_AMOUNT,MONEY_RATE
2015-08-20,12,200000,12.5
2015-08-20,5,5000000,12.5
2015-08-20,5,200000,12.5
2015-08-20,0,5000000,12.5
2015-08-20,272,5000000,15
2015-08-20,287,5000000,15
2015-08-20,280,5000000,15
2015-08-20,273,5000000,15
2015-08-20,5,300000,12.5
2015-08-20,5,200000,12.5
2015-08-20,284,5000000,15
2015-08-20,5,300000,12.5
2015-08-20,5,200000,12.5
2015-08-20,277,5000000,15
2015-08-20,268,5000000,15
2015-08-20,249,5000000,15
2015-08-20,249,5000000,15
2015-08-20,7,564000,12.5
2015-08-20,240,5000000,15
2015-08-20,0,800000,12.5
2015-08-20,82,3000000,13
2015-08-20,252,5000000,15
2015-08-20,266,5000000,15
2015-08-20,252,5000000,15
2015-08-20,260,5000000,15
2015-08-20,261,5000000,15
2015-08-20,246,5000000,15
2015-08-20,247,5000000,15
2015-08-20,253,5000000,15
2015-08-20,31,1000000,13
2015-08-20,239,5000000,15
2015-08-20,234,5000000,15
2015-08-20,234,5000000,15
2015-08-20,213,2000000,15
2015-08-20,37,1300000,13
2015-08-20,199,5000000,15
2015-08-20,219,5000000,14.5
2015-08-20,219,5000000,14.5
2015-08-20,219,5000000,14.5
2015-08-20,31,3000000,13
2015-08-20,13,7000000,13
2015-08-20,206,5000000,15
2015-08-20,198,5000000,15
2015-08-20,204,5000000,15
2015-08-20,195,5000000,15
2015-08-20,195,5000000,15
2015-08-20,195,5000000,15
2015-08-20,137,5000000,15
2015-08-20,137,5000000,15
2015-08-20,156,5000000,15
2015-08-20,137,5000000,15
2015-08-20,137,5000000,15
2015-08-20,156,5000000,15
2015-08-20,167,5000000,15
2015-08-20,154,5000000,15
2015-08-20,154,5000000,15
2015-08-20,131,5000000,15
2015-08-20,137,5000000,15
2015-08-20,137,5000000,15
2015-08-20,123,5000000,15
2015-08-20,131,5000000,15
2015-08-20,131,5000000,15
2015-08-20,123,5000000,15
2015-08-20,123,5000000,15
2015-08-20,123,5000000,15
2015-08-20,123,5000000,15
2015-08-20,123,5000000,15
2015-08-20,113,5000000,15
2015-08-20,113,5000000,15
2015-08-20,113,5000000,15
2015-08-20,106,5000000,15
2015-08-20,106,5000000,15
2015-08-20,111,5000000,15
2015-08-20,106,4000000,15
2015-08-20,99,5000000,15
2015-08-20,99,5000000,15
2015-08-20,99,5000000,15
2015-08-20,105,6000000,15
2015-08-20,27,6000000,15
2015-08-20,90,5000000,15
2015-08-20,75,2000000,14
2015-08-20,77,5000000,15
2015-08-20,75,1000000,14
2015-08-20,77,5000000,15
2015-08-20,75,2000000,14
2015-08-20,65,1000000,14
2015-08-20,65,1000000,14
2015-08-20,57,5000000,15
2015-08-20,65,2000000,14
2015-08-20,65,1000000,14
2015-08-20,57,5000000,15
2015-08-20,65,2000000,14
2015-08-20,65,1000000,14
2015-08-20,65,1000000,14
2015-08-20,57,1200000,14
2015-08-20,55,2000000,14
2015-08-20,35,5000000,15
2015-08-20,35,5000000,15
2015-08-20,35,5000000,15
2015-08-20,35,5000000,15
2015-08-20,0,5000000,15
2015-08-20,0,5000000,15
2015-08-20,0,5000000,15
2015-11-10,0,800000,12
2015-07-03,0,50000,10.5
2015-07-03,0,900000,10
2015-07-03,0,50000,10.5
2015-07-03,0,1000000,10
2015-07-03,0,1000000,10
2015-07-03,0,1000000,10
2015-07-03,0,1000000,10
2015-07-16,0,616400,12
2015-06-30,0,573000,12
2015-06-25,0,417200,12
2015-06-30,0,452000,12
2015-06-19,0,156000,12
2015-06-30,0,261250,12
2015-06-18,0,500000,12
2015-07-21,0,1000000,12
2015-08-11,0,1500000,12
2015-08-13,0,200000,12.5
2015-08-13,0,300000,12.5
2015-08-13,0,612560,12.5
2015-08-13,0,100000,12.5
2015-08-13,0,300000,12.5
2015-08-18,0,429000,12.5
2015-08-07,0,5000000,12
2015-08-13,0,500000,12.5
2015-08-07,0,5000000,12
2015-08-13,0,200000,12.5
2015-08-18,0,418000,12.5
2015-08-07,0,5000000,12
2015-08-18,0,522500,12.5
2015-08-13,0,300000,12.5
2015-08-18,0,198000,12.5
2015-06-16,0,392000,12
2015-07-30,0,520000,12.5
2015-08-05,0,200000,12.5
2015-08-05,0,300000,12.5
2015-08-05,0,200000,12.5
2015-08-05,0,200000,12.5
2015-08-03,0,200000,12.5
2015-07-18,0,200000,12.5
2015-05-14,0,259200,12
2015-05-14,0,263000,12
2015-06-30,0,5000000,12.5
2015-05-12,0,207000,12
2015-07-15,0,200000,12.5
2015-07-02,0,1000000,12.5
2015-06-30,0,5000000,12.5
2015-07-02,0,870000,12
2015-07-07,0,300000,12.5
2015-07-07,0,200000,12.5
2015-05-05,0,285600,12
2015-05-22,0,516672,12
2015-07-07,0,200000,12.5
2015-06-30,0,6000000,12.5
2015-07-07,0,300000,12.5
2015-06-30,0,500000,12.5
2015-06-30,0,200000,12.5
2015-06-30,0,300000,12.5
2015-06-30,0,200000,12.5
2015-06-30,0,500000,12.5
2015-06-27,0,5000000,12
2015-06-30,0,200000,12.5
2015-06-25,0,300000,12.5
2015-06-25,0,590000,12.5
2015-06-21,0,5000000,12
2015-06-23,0,500000,12.5
2015-06-23,0,300000,12.5
2015-06-23,0,200000,12.5
2015-06-23,0,300000,12.5
2015-06-23,0,300000,12.5
2015-06-23,0,300000,12.5
2015-06-21,0,5000000,12
2015-06-21,0,5000000,12
2015-06-16,0,3200000,12.5
2015-06-18,0,300000,12.5
2015-06-18,0,200000,12.5
2015-06-18,0,200000,12.5
2015-06-18,0,200000,12.5
2015-06-18,0,300000,12.5
2015-06-16,0,300000,12.5
2015-06-16,0,300000,12.5
2015-06-16,0,150000,12.5
2015-06-16,0,350000,12.5
2015-06-16,0,350000,12.5
2015-05-16,0,1100000,12
2015-04-24,0,1723000,12
2015-06-14,0,565150,12.5
2015-06-09,0,300000,12.5
2015-06-09,0,300000,12.5
2015-06-09,0,200000,12.5
2015-06-09,0,300000,12.5
2015-06-09,0,200000,12.5
2015-07-23,0,1500000,13
2015-05-14,0,180000,12.5
2015-05-01,0,4026000,12.5
2015-05-19,0,344000,12.5
2015-06-18,0,130000,12.5
2015-06-03,0,500000,12.5
2015-05-27,0,4140000,13
2015-05-19,0,300000,12.5
2015-04-21,0,5000000,12.5
2015-04-08,0,68000,12.5
2015-05-19,0,200000,12.5
2015-05-19,0,300000,12.5
2015-05-19,0,300000,12.5
2015-05-19,0,100000,12.5
2015-05-19,0,100000,12.5
2015-05-19,0,300000,12.5
2015-05-19,0,200000,12.5
2015-05-19,0,200000,12.5
2015-05-16,0,300000,12.5
2015-06-25,0,900000,13
2015-04-08,0,222000,12.5
2015-05-05,0,100000,12.5
2015-05-05,0,300000,12.5
2015-04-10,0,2550000,12.5
2015-05-05,0,301000,13
2015-05-07,0,100000,12.5
2015-05-05,0,200000,12
2015-05-05,0,200000,12.5
2015-05-05,0,300000,12.5
2015-05-05,0,500000,12
2015-05-05,0,300000,12
2015-05-05,0,200000,12
2015-05-06,0,440000,12.5
2015-07-19,0,750000,13
2015-05-05,0,1000000,12.5
2015-05-05,0,500000,12.5
2015-05-06,0,283153,12.5
2015-05-22,0,765000,12.5
2015-07-23,0,5000000,15
2015-04-16,0,360000,12.5
2015-03-24,0,2785000,12
2015-04-24,0,200000,12
2015-04-24,0,200000,12
2015-04-24,0,200000,12
2015-04-24,0,300000,12
2015-04-24,0,200000,12
2015-04-03,0,429800,12.5
2015-04-24,0,566000,13
2015-04-15,0,3005000,13
2015-04-21,0,354470,13
2015-04-09,0,243600,13
2015-04-09,0,184200,13
2015-04-17,0,412000,13
2015-02-13,0,104400,12
2015-04-16,0,172440,13
2015-04-14,0,770589,13
2015-02-13,0,468745,12
2015-03-24,0,429820,13
2015-04-02,0,344000,13
2015-04-10,0,556000,13
2015-05-05,0,1846445,13
2015-04-03,0,555135,13
2015-03-04,0,313872,12.5
2015-04-01,0,1113840,13
2015-04-01,0,500000,13
2015-04-01,0,410500,13
2015-04-11,0,1100000,13
2015-03-18,0,219450,13
2015-03-13,0,250000,13
2015-02-10,0,2300000,13
2015-03-11,0,390000,13
2015-06-23,0,6000000,14
2015-03-19,0,5200000,13
2015-04-02,0,1410000,13
2015-03-19,0,5200000,13
2015-05-21,0,4000000,14
2015-03-11,0,5200000,8
2015-03-11,0,1980000,13
2015-01-28,0,500000,13
2014-12-25,0,370000,13
2015-08-10,0,5000000,15
2015-01-23,0,765000,13
2015-03-22,0,5000000,14
2015-01-21,0,376400,13
2015-03-22,0,5000000,14
2015-10-13,0,1000000,14
2015-03-22,0,5000000,14
2015-03-22,0,5000000,14
2014-11-06,0,400000,13
2014-12-30,0,365950,13
2015-03-22,0,5000000,14
2015-03-26,0,3750000,12.5
2014-12-24,0,5000000,13
2015-03-26,0,3000000,12.5
2015-03-12,0,5000000,15
2015-03-12,0,5000000,15
2015-07-28,0,5000000,15
2015-07-28,0,5000000,15
2015-07-28,0,5000000,15
2015-07-28,0,5000000,15
2015-05-21,0,7500000,15
2015-05-21,0,7500000,15
2015-05-13,0,5743102.28,15
2015-08-10,0,5000000,15
2014-12-12,0,1000000,13
2015-06-14,0,7000000,15
2015-05-21,0,5000000,15
2015-05-13,0,5000000,15
2015-06-15,0,5000000,15
2015-04-03,0,5000000,15
2015-06-15,0,5000000,15
2015-04-03,0,5000000,15
2015-06-15,0,5000000,15
2015-05-13,0,5000000,15
2015-06-15,0,5000000,15
2015-05-21,0,5000000,15
2015-06-12,0,5000000,15
2015-06-15,0,5000000,15
2015-05-13,0,5000000,15
2015-06-15,0,5000000,15
2015-05-21,0,5000000,15
2015-06-12,0,5000000,15
2015-05-21,0,5000000,15
2015-05-13,0,5000000,15
2015-05-21,0,5000000,15
2015-04-10,0,2000000,15
2014-11-27,0,5000000,15
2015-05-13,0,5000000,15
2014-12-31,0,5000000,15
2014-11-15,0,5000000,15
2015-04-08,0,5000000,15
2014-12-31,0,5000000,15
2015-04-25,0,5000000,15
2015-04-08,0,5000000,15
2014-12-31,0,5000000,15
2014-10-25,0,5000000,15
2015-04-08,0,5000000,15
2014-12-31,0,5000000,15
2015-04-08,0,5000000,15
2014-12-31,0,5000000,15
2014-12-31,0,5000000,15
2014-11-27,0,2578800,15
2014-11-27,0,2000000,15
2014-11-27,0,2000000,15
2014-11-27,0,2000000,15
2014-11-27,0,2000000,15
2015-01-29,0,1000000,15
2014-11-27,0,2000000,15
2014-11-27,0,2000000,15
2015-01-29,0,1000000,15
2015-01-29,0,1000000,15
2015-01-29,0,1000000,15
2014-11-27,0,141200,15
2014-11-27,0,10000,15
2014-11-27,0,10000,15
2014-11-27,0,10000,15
2014-11-27,0,20000,15
2014-11-27,0,100000,15
2014-11-27,0,10000,15
2014-11-27,0,10000,15
2014-11-27,0,50000,15
2014-11-27,0,20000,15
2014-11-27,0,10000,15
2014-11-27,0,10000,15
2014-11-27,0,10000,15
2014-11-27,0,10000,15
2014-11-20,0,7000000,15
