DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-02-11,720,36900,16
2015-02-11,720,27800,16
2015-02-12,1080,78900,16
2015-02-12,720,49200,16
2015-02-12,720,27800,16
2015-02-13,1080,52600,16
2015-02-13,720,49200,16
2015-02-14,1080,65800,16
2015-02-14,720,36900,16
2015-02-15,1080,52600,16
2015-02-15,1080,39400,16
2015-02-16,720,69500,16
2015-02-16,720,49200,16
2015-02-17,1080,52600,16
2015-02-17,1080,39400,16
2015-02-18,1080,39400,16
2015-02-18,720,39900,16
2015-02-19,1080,39400,16
2015-02-19,720,41700,16
2015-02-20,720,55600,16
2015-02-20,1080,52600,16
2015-02-21,720,69500,16
2015-02-21,720,39900,16
2015-02-22,720,66500,16
2015-02-22,720,39900,16
2015-02-23,720,53200,16
2015-02-23,720,41700,16
2015-02-24,720,53200,16
2015-02-24,720,36900,16
2015-02-25,720,66500,16
2015-02-25,720,55600,16
2015-02-25,720,53200,16
2015-02-25,720,41700,16
2015-02-25,720,53200,16
2015-02-25,720,26600,16
2015-02-25,360,23500,16
2015-02-25,720,53200,16
2015-02-25,720,36900,16
2015-02-25,720,66500,16
2015-02-25,720,36900,16
2015-02-26,720,53200,16
2015-02-26,720,53200,16
2015-02-26,720,39900,16
2015-02-26,720,55600,16
2015-02-26,1080,65800,16
2015-02-26,720,39900,16
2015-02-26,720,55600,16
2015-02-26,720,36900,16
2015-02-26,360,23500,16
2015-02-26,720,39900,16
2015-02-26,720,39900,16
2015-02-26,720,49200,16
2015-02-26,720,39900,16
2015-02-26,720,49200,16
2015-02-26,720,49200,16
2015-02-26,720,69500,16
2015-02-26,720,53200,16
2015-02-26,1080,78900,16
2015-02-26,720,53200,16
2015-02-26,720,83400,16
2015-02-26,720,36900,16
2015-02-27,720,69500,16
2015-02-27,720,53200,16
2015-02-27,1080,65800,16
2015-02-27,720,66500,16
2015-02-27,720,55600,16
2015-02-27,720,41700,16
2015-02-27,720,49200,16
2015-02-27,720,40500,16
2015-02-27,720,53200,16
2015-02-27,720,40500,16
2015-02-27,720,41700,16
2015-02-27,1080,39400,16
2015-02-27,1080,52600,16
2015-02-27,720,53200,16
2015-02-27,1080,52600,16
2015-02-27,720,39900,16
2015-02-27,720,53200,16
2015-02-27,720,66500,16
2015-02-27,720,66500,16
2015-02-27,720,66500,16
2015-02-27,720,111300,16
2015-02-27,720,66500,16
2015-02-28,1080,78900,16
2015-02-28,720,66500,16
2015-02-28,720,66500,16
2015-02-28,720,61500,16
2015-02-28,720,36900,16
2015-02-28,1080,65800,16
2015-02-28,720,39900,16
2015-02-28,720,49200,16
2015-02-28,720,83400,16
2015-02-28,720,55600,16
2015-02-28,720,53200,16
2015-02-28,1080,52600,16
2015-02-28,1080,65800,16
2015-02-28,720,66500,16
2015-02-28,720,83400,16
2015-02-28,720,53200,16
2015-02-28,720,69500,16
2015-02-28,720,69500,16
2015-02-28,1080,78900,16
2015-03-01,720,49200,16
2015-03-01,720,53200,16
